amfi_code,current_nav,median_nav,p5_nav,p95_nav
100016,583.61,656.94,384.36,1133.55
100025,31.88,39.38,34.18,45.46
100033,342.01,1198.87,613.35,2482.29
101206,773.29,2160.96,1273.47,3600.39
101207,53.98,77.48,32.38,209.81
101208,410.1,555.8,545.7,566.26
102885,187.78,413.4,262.01,665.26
102886,125.56,130.25,68.11,256.89
102887,378.97,799.39,457.64,1382.97
118632,110.56,303.0,183.31,517.54
118633,91.6,189.09,111.58,308.69
118634,134.67,283.15,104.82,719.27
118635,326.75,668.31,424.42,1064.48
118636,37.82,48.69,41.72,56.25
119092,50.84,68.5,40.67,109.96
119093,58.42,84.51,52.42,136.55
119094,203.86,672.24,340.47,1361.09
119095,56.13,62.15,23.82,156.63
119120,54.2,71.46,61.75,82.51
119551,149.32,447.54,268.52,753.75
119552,137.73,346.21,204.63,579.19
119598,309.2,1149.6,471.16,2936.74
119599,105.48,110.92,46.02,282.93
120503,118.15,270.02,160.36,431.45
120504,151.13,417.89,249.37,718.24
120505,473.76,1861.6,900.17,3759.22
120506,404.42,854.38,500.34,1466.64
120507,388.59,544.16,534.57,554.03
120841,482.13,881.99,539.46,1445.94
120842,82.65,116.43,59.93,218.9
120843,163.24,604.9,339.94,1062.93
120844,4268.55,5893.93,5784.24,6011.6
125497,1204.96,2799.06,1638.33,4788.56
125498,188.36,321.26,163.46,630.15
148567,230.27,842.81,492.86,1437.03
148568,205.45,548.88,310.93,969.16
148569,97.74,383.35,199.09,719.71
149322,606.23,1117.52,660.11,1781.54
149323,245.37,877.34,471.02,1658.1
149324,279.75,1092.78,427.92,2615.93
